username,score,at,content,thumbsupcount,has_pembayaran,has_driver,has_aplikasi,has_harga,has_layanan,has_order,has_waktu,has_lokasi,has_komunikasi,has_umum,clean_text,label
Yumas Shop,2,2025-10-11 11:21:43,sebenarnya bagus tapi terlalu banyak driver menolak pakai kaspro saat genting sedang tidak ada uang cash tlong diperbaiki,0,1,1,0,0,0,0,0,0,0,1,bagus driver menolak pakai kaspro genting uang cash tlong diperbaiki,puas
Dani_ Official,1,2025-10-11 10:49:19,susah banget dapat code verif nya,0,0,0,0,0,0,0,0,0,0,0,susah banget code verif nya,tidak puas
Efootball el,5,2025-10-11 10:31:08,tolong kepada pelanggan maxim komitmen dong order transportasi maxim maxim orderannya sepih terus kasian driver maxim bahkan bisa berhari hari gadapat orderan,0,0,1,0,0,0,1,0,0,0,0,tolong pelanggan maxim komitmen order transportasi maxim maxim orderannya sepih kasian driver maxim berhari gadapat orderan,netral
SnakerS,1,2025-10-11 08:29:26,nggak bisa login,0,0,0,1,0,0,0,0,0,0,0,nggak login,netral
octa ramadhan,1,2025-10-11 07:40:20,tidak bisa mendaftar,0,0,0,1,0,0,0,0,0,0,0,mendaftar,netral
Erlangga Lintang,1,2025-10-11 07:04:40,aplikasi jelek topup via bank bca ga masuk masuk uangnya udh lama bgt,0,1,0,0,0,0,0,1,0,0,1,aplikasi jelek topup via bank bca ga masuk masuk uangnya udh bgt,tidak puas
Fahri Firmansyah,3,2025-10-11 06:34:47,sebenarnya oke aja gak ribet tapi pas order makanan lama cari driver nya terus gak bisa di batalain juga harus d ubah teruss pliss lah perbaikin,0,0,1,0,0,0,1,1,0,0,0,oke aja gak ribet pas order makanan cari driver nya gak batalain d ubah teruss pliss perbaikin,netral
BUDIARTO budi,5,2025-10-11 06:23:50,maxim keren murah cepat selamanya tetap promo dan drivernya good,0,0,0,0,1,0,0,1,0,0,0,maxim keren murah cepat promo drivernya good,puas
Ratna sari murni,5,2025-10-11 06:19:26,nyaman dan cpt sampai,0,0,0,0,0,1,0,0,0,0,0,nyaman cpt,netral
Syahril Syah,5,2025-10-11 06:09:03,murah aman nyaman serta ramah2 dan tertib berlalulintas drivernya betul2 mitra perjalanan bertanggungjawab terimakasih,0,0,0,0,1,1,0,0,0,0,0,murah aman nyaman ramah tertib berlalulintas drivernya mitra perjalanan bertanggungjawab terimakasih,puas
Liana Iswati,1,2025-10-11 05:46:20,maxim di topup in kaspro malah error duitku ilang njing,0,1,0,1,0,0,0,0,0,0,0,maxim topup in kaspro error duitku ilang njing,tidak puas
Asyifaolivia Safiraa,3,2025-10-11 05:28:38,tolong kalo ada yg pesan makan siapkan uang talanganny supaya tida ribet ba qris,0,1,0,0,0,0,1,0,0,1,0,tolong kalo yg pesan makan siapkan uang talanganny tida ribet ba qris,netral
Sigit Surya Bagus Setiawan,2,2025-10-11 04:22:44,terlalu lama mancari pelaksana,0,0,0,0,0,0,0,1,0,0,0,mancari pelaksana,netral
shi kalem gamer amatir,1,2025-10-11 04:19:48,berkli kli saya minta kode otp nggk dikirim kirm,0,0,0,0,1,0,0,0,0,0,0,berkli kli kode otp nggk dikirim kirm,netral
Acaacaa,1,2025-10-11 04:12:28,dasar pencuri uang orang,0,1,0,0,0,0,0,0,0,0,0,dasar pencuri uang orang,netral
Malela Madya pramana,5,2025-10-11 03:19:33,tolong betulin dulu peta nya maps maps peta maps,0,0,0,1,0,0,0,0,1,0,0,tolong betulin peta nya maps maps peta maps,netral
Kang Trisno,5,2025-10-11 03:13:15,good,0,0,0,0,0,0,0,0,0,0,0,good,netral
martabak metro raya 16 c,5,2025-10-11 03:11:48,mantap,0,0,0,0,0,0,0,0,0,0,1,mantap,puas
Mayadi Ricardo,5,2025-10-11 03:07:29,best,0,0,0,0,0,0,0,0,0,0,0,best,netral
dewi kartikaa,1,2025-10-11 03:00:47,tlong dong tarif ny yg normal dikit lh masa si tarifnya melonjak jauh bnget dri yg kmrn kan jalan dipatal gak dijadiin satu arah lgi tp tarifnya gk notak bnget deh mana lama nunggu draiver ny ditambah tarifnya naik jga,0,0,0,0,1,0,0,1,1,0,0,tlong tarif ny yg normal dikit lh si tarifnya melonjak bnget dri yg kmrn jalan dipatal gak dijadiin arah lgi tp tarifnya gk notak bnget deh nunggu draiver ny ditambah tarifnya jga,netral
Dahliana noor,5,2025-10-11 01:59:30,mantap,0,0,0,0,0,0,0,0,0,0,1,mantap,puas
xbandung bandung,1,2025-10-11 01:40:10,susah daftar,0,0,0,0,0,0,0,0,0,0,0,susah daftar,tidak puas
Permana Yaa,1,2025-10-11 00:50:31,sebetulmya bagus aja tapi drivernya pada gajelas waktu tunggu jadi lama banget telat teruuss saya kerja drivernya juga pada gimana siiii ga bisa baca map apa aneh banget,11,0,1,0,0,0,0,1,0,0,1,sebetulmya bagus aja drivernya gajelas tunggu banget telat teruuss kerja drivernya gimana siiii ga baca map aneh banget,puas
Lathifah Abdillah,3,2025-10-11 00:49:06,topup 29k eh tbtb yg masuk cuman 26 100 sisa uangnya kemana tuh,0,1,0,0,0,0,0,0,0,0,0,topup k eh tbtb yg masuk cuman sisa uangnya kemana tuh,netral
Lodowik Djanoma,5,2025-10-10 23:43:11,mengapa harga selalu naik sedangkan aplikasi ini kami sudah pakai lebih dari 2 tahun,0,0,0,0,1,0,0,0,0,0,0,harga aplikasi pakai,netral
Dede Juariah,1,2025-10-10 23:12:49,jangan mau pake apk ini buru mau otw ngisi saldo e wallet maxim karna ga ada cash eh udah beberapa jam ga masuk tuh duit padahal udah sukses ke tf mana lumayan gede lagi gua topup nya karna biar sekalian,0,1,0,0,0,0,0,0,0,0,1,pake apk buru otw ngisi saldo e wallet maxim karna ga cash eh udah jam ga masuk tuh duit udah sukses tf lumayan gede gua topup nya karna biar,netral
Salahudin,2,2025-10-10 21:17:40,tidak bisa login,0,0,0,1,0,0,0,0,0,0,0,login,netral
Noval Nazli,1,2025-10-10 15:35:45,susah banget cari driver nyaa entah karna murah ntah apa,0,0,1,0,1,0,0,0,0,0,0,susah banget cari driver nyaa karna murah ntah,puas
Elevata gulo,1,2025-10-10 14:50:56,sangat di sayank kan kita pesan mexim tapi selalu di cansel alasa tarif tidak sesuai tolong supaya pihak aplikasi dapat mengatasi hal tersebut sebagai pelanggan kami kecewa,7,0,0,0,1,0,1,0,0,1,1,sayank pesan mexim cansel alasa tarif sesuai tolong aplikasi mengatasi pelanggan kecewa,tidak puas
Fahri Rosyid,5,2025-10-10 14:42:10,bagus alhamdulillah,0,0,0,0,0,0,0,0,0,0,1,bagus alhamdulillah,puas
Heyroe Yislam,3,2025-10-10 12:49:25,kenapa ya di hp saya app maxim gak bisa login sampe daftar pake 2 nomor hp berbeda tetap gak bisa login apakah ada yg tau kenapa saya pake hp samsung,0,0,0,1,0,0,0,0,0,0,0,ya hp app maxim gak login sampe daftar pake nomor hp berbeda gak login yg tau pake hp samsung,netral
Irfan Nugraha,5,2025-10-10 12:49:12,bagus,0,0,0,0,0,0,0,0,0,0,1,bagus,puas
Ziyan Alghifar,1,2025-10-10 12:21:50,aplikasi tidak dapat dibuka mohon di perbaiki,0,0,0,0,0,0,0,0,0,0,0,aplikasi dibuka mohon perbaiki,netral
Yosafat,5,2025-10-10 11:03:15,bagus,0,0,0,0,0,0,0,0,0,0,1,bagus,puas
Hanif Alfarizi,5,2025-10-10 10:55:32,bagus,0,0,0,0,0,0,0,0,0,0,1,bagus,puas
Tian Gustian,5,2025-10-10 10:27:27,bagus aplikasinya membantu,0,0,0,0,0,0,0,0,0,0,1,bagus aplikasinya membantu,puas
Abdurrahman,1,2025-10-10 10:04:38,gak jelas kode veripikasinya,0,0,1,0,1,0,0,0,0,0,0,gak kode veripikasinya,netral
Randi Setiawan,5,2025-10-10 09:47:43,bismillah ijin bergabung menjadi mitra keluarga driver maxim,0,0,1,0,0,0,0,0,0,0,0,bismillah ijin bergabung mitra keluarga driver maxim,netral
Mangdung Famz,1,2025-10-10 09:43:13,ini maxim kenapa ya di apk tertulis driver hampir sampai padahal kenyataan nya driver belum jalan hal seperti ini tolong lebih diperhatikan lagi ya karena ga semua orang dalam kondisi santai terus juga pernah dapet driver pas udah sampai tempat tujuan beliau minta di cancel aja dari apk saya karena katanya apk driver ga bisa dibuka gamasuk akal kan,0,0,1,0,0,0,0,0,0,0,0,maxim ya apk tertulis driver kenyataan nya driver jalan tolong diperhatikan ya ga orang kondisi santai dapet driver pas udah tujuan beliau cancel aja apk apk driver ga dibuka gamasuk akal,netral
Deni,1,2025-10-10 09:21:42,bosan lama di tunggu,0,0,0,0,0,0,0,1,0,0,0,bosan tunggu,netral
Syairraa,1,2025-10-10 08:12:28,saya udah isi saldo tapi gk masuk ke akun maxim ngadunya kemana ini ada bukti tranfernya,0,1,0,0,0,0,0,0,0,0,0,udah isi saldo gk masuk akun maxim ngadunya kemana bukti tranfernya,netral
subaidah rosok,2,2025-10-10 07:55:29,mau login aja gk bisa kode nya gk dikirim kirim susah login,0,0,0,1,1,0,0,0,0,0,0,login aja gk kode nya gk dikirim kirim susah login,tidak puas
Sandi Supiandi,5,2025-10-10 07:47:58,aplikasi mudah digunakan nyman dan murah buat perjalanan,0,0,0,0,1,0,0,0,0,0,0,aplikasi mudah nyman murah perjalanan,puas
ETERNAL FRONZY,1,2025-10-10 06:51:50,apalah mana voucher gratis yang dijanjikan waktu pas ke sekolahnya yang lain bisa masa gw kagak apalah yang dikasih yang baru semua giliran gw yang udah bertahun tahun nggak dapet mana nih nggak adil nih maxim kecewa gw ama nih aplikasi padahal gw juga siswa apalah penipuan total nggak berguna,0,0,0,0,1,0,0,0,0,0,1,apalah voucher gratis dijanjikan pas sekolahnya gw kagak apalah dikasih giliran gw udah bertahun nggak dapet nih nggak adil nih maxim kecewa gw ama nih aplikasi gw siswa apalah penipuan total nggak berguna,tidak puas
Parikesit Sangha,1,2025-10-10 06:48:45,map nya nga lengkap suka ngaco gila baru urget nya top up saldo kaspro gila setress lama banget hampir sejam baru masuk saldonya taikkk ini apk nya setres,0,1,0,0,0,0,0,1,0,0,1,map nya nga lengkap suka ngaco gila urget nya top up saldo kaspro gila setress banget sejam masuk saldonya taikkk apk nya setres,puas
Meytha Nugraheni,1,2025-10-10 05:54:02,daftar bolak balik nggak bisa kirim kode sampe 5x nggak ada yg masuk apk mengecewakan,0,0,0,0,1,0,0,0,0,0,1,daftar bolak nggak kirim kode sampe x nggak yg masuk apk mengecewakan,netral
Siti Hajar,1,2025-10-10 05:52:26,saya gabisa login udah ikutin instruksi buat pilih gambar tapi malah tetep gabisa login buang buang waktu saja kode otp juga masuknya lama banget sampe berjam jam sampe saya install ulang tapi tetep gabisa login gimana ini aplikasi ko gabisa di gunakan sih,8,0,0,1,1,0,0,1,0,0,0,gabisa login udah ikutin instruksi pilih gambar tetep gabisa login buang buang kode otp masuknya banget sampe berjam jam sampe install ulang tetep gabisa login gimana aplikasi ko gabisa sih,netral
Edi Taher,5,2025-10-10 05:45:20,ok,0,0,0,0,0,0,0,0,0,0,1,ok,netral
Muhammad Fathi,1,2025-10-10 05:37:32,saya baru install tapi gak bisa masuk tolong di perbaiki,0,0,0,0,0,0,0,0,0,0,0,install gak masuk tolong perbaiki,netral
Milaty azka,4,2025-10-10 05:36:12,bagus sih cmn beberapa kali pesan makanan hanya 1 porsi mereka gaada yg mau pergi,0,0,0,0,0,0,1,0,0,1,1,bagus sih cmn kali pesan makanan porsi gaada yg pergi,puas
Safri Irawan,1,2025-10-10 05:21:37,cari drivernya sangat lama sekali sangaattt lamaaa sekaliiiiii ntah itu ojek ataupun pesan makan samaaa sajaaa aplikasi rusaaakkk,0,0,1,0,0,0,1,1,0,1,0,cari drivernya sangaattt lamaaa sekaliiiiii ntah ojek pesan makan samaaa sajaaa aplikasi rusaaakkk,netral
Lida Yohana,1,2025-10-10 05:07:10,aplikasi nya lemot kalo udah cencel malah ada lagi ojol nya jadi bikin bingung,0,0,0,1,0,0,0,0,0,0,0,aplikasi nya lemot kalo udah cencel ojol nya bikin bingung,netral
Nugroho Kuswantoro,4,2025-10-10 04:58:52,saya tinggal di yogyakarta mulai menggunakan ojek online awal tahun 2018 pada juli 2019 saya mendapat info ada ojek online baru yaitu maxim saya tertarik dan mengunggah aplikasinya suatu saat memesan maxim terkejutlah saya karena ongkos hanya rp 3 000 untuk jarak tertentu jauh lebih murah dibanding lainnya yg ongkos terendahnya saat itu sekitar rp 8 000 saya sangat terbantu tiap ada keperluan agar segera sampai tujuan saya panggil maxim yg ongkosnya paling murah dibanding lainnya,8,0,1,0,1,0,0,0,0,0,0,tinggal yogyakarta ojek online juli info ojek online maxim tertarik mengunggah aplikasinya memesan maxim terkejutlah ongkos rp jarak murah dibanding yg ongkos terendahnya rp terbantu keperluan tujuan panggil maxim yg ongkosnya murah dibanding,puas
Mazt Ariezt,3,2025-10-10 04:07:52,knp maxim selalu lama dalam proses otp 2 jam menunggu blm bs bahkan sampai seharian hadeh,0,0,0,0,0,0,0,1,0,0,0,knp maxim proses otp jam menunggu blm bs seharian hadeh,netral
Muji ajeh,5,2025-10-10 03:52:53,ada in fitur kamera nya bos jangan buka pendaftaran mulu udah kebanyakan driver pada laparrrrrrr,0,0,1,1,0,0,0,0,0,0,0,in fitur kamera nya bos buka pendaftaran mulu udah kebanyakan driver laparrrrrrr,netral
ARACNI FK,2,2025-10-10 01:45:29,apa ini kesalahan pemesanan terus saya tidak bisa melakukan pemesanan seperti biasa se usai update aplikasi,0,0,0,1,0,0,0,0,0,0,0,kesalahan pemesanan pemesanan update aplikasi,netral
M Arifin,5,2025-10-10 01:28:56,keren,0,0,0,0,0,0,0,0,0,0,0,keren,netral
Sindi Sintya,2,2025-10-10 01:10:37,enak si ya murah kadang juga kalo harga saya buletin tapi ini drivernya lelet pda lelet gatau juga di apk nya stuck mapa nya ga jalan jalan tolong lah ini di perbaiki sama drivernya juga pada tolong hadehhh geregetan deh,8,0,0,0,1,0,0,0,0,0,0,enak si ya murah kadang kalo harga buletin drivernya lelet pda lelet gatau apk nya stuck mapa nya ga jalan jalan tolong perbaiki drivernya tolong hadehhh geregetan deh,puas
Supendi Fendi,5,2025-10-10 01:05:58,top deh,0,0,0,0,0,0,0,0,0,0,1,top deh,netral
Siti Khodjh,1,2025-10-10 00:57:14,nah v l1,0,0,0,0,0,0,0,0,0,0,0,v l,netral
Dedi Agus,3,2025-10-10 00:53:06,topup kaspro lamaa banget masuk saldonyaa,0,1,0,0,0,0,0,0,0,0,0,topup kaspro lamaa banget masuk saldonyaa,netral
Depha andrade,1,2025-10-09 23:58:28,lama kali nyari driver nya anjggg,0,0,1,0,0,0,0,1,0,0,0,kali nyari driver nya anjggg,netral
Soviani Lach,4,2025-10-09 23:41:12,sebenarnya saya sudah lama menggunakan aplikasi ini tapi terkadang pas pesan drivernya jauh dari lokasi saya dan tolong dong lokasi map nya terkadang ga singkron ngaco ajh dan ga pas titik jemput juga kadang meleset hadi perbaiki lagi ya pelayanannya,0,0,0,0,0,0,1,1,1,1,0,aplikasi terkadang pas pesan drivernya lokasi tolong lokasi map nya terkadang ga singkron ngaco ajh ga pas titik jemput kadang meleset hadi perbaiki ya pelayanannya,netral
Dedi Supriyadi,5,2025-10-09 23:05:14,mantaap,0,0,0,0,0,0,0,0,0,0,0,mantaap,netral
Alexander Jeremias,2,2025-10-09 22:43:38,kenapa klo baru mau masukan no tlp selalu terjadi kesalahan terus mau menggunakan maxim jdi gz bs,0,0,0,0,0,0,0,0,0,0,0,klo masukan no tlp kesalahan maxim jdi gz bs,puas
Bayu Rizkia,1,2025-10-09 21:06:44,kurang puas jangkauan map terlalu sedikit,0,0,0,0,0,0,0,0,0,0,1,puas jangkauan map,puas
Septian adi,5,2025-10-09 20:59:09,membantu bgt,0,0,0,0,0,0,0,0,0,0,0,membantu bgt,netral
Muhammad Faisal69,5,2025-10-09 19:33:25,mantap,0,0,0,0,0,0,0,0,0,0,1,mantap,puas
Nurman Hadi saputra,5,2025-10-09 17:56:10,baru nyoba pakai maxim hebat drivernya ramah sopan dan berkendaranya juga enak,0,0,0,0,0,1,0,0,0,0,0,nyoba pakai maxim hebat drivernya ramah sopan berkendaranya enak,netral
Lidya Simanjuntak,1,2025-10-09 16:15:03,wallet kaspro gak berguna sama sekali driver selalu menolak saldo gak bisa ditarik kembali,0,1,1,0,0,0,0,0,0,0,0,wallet kaspro gak berguna driver menolak saldo gak ditarik,netral
Kezya Kezya,3,2025-10-09 15:18:06,maksim nya hampir semua gak jls kok titik nya di tmpt lain berhenti nya di tempat lain sudah begitu ngotot bilang sudah sesuai titik,0,0,0,0,0,0,0,0,1,0,0,maksim nya gak jls titik nya tmpt berhenti nya ngotot bilang sesuai titik,netral
Tria Gabel,1,2025-10-09 14:39:09,maxim ngapain kerjasama sama aplikasi kaspro aplikasi gak berguna update ke premium saja sampe berbulan bulan gak ada kejelasa,0,1,0,1,0,0,0,0,0,0,0,maxim ngapain kerjasama aplikasi kaspro aplikasi gak berguna update premium sampe berbulan gak kejelasa,netral
sokabbb,5,2025-10-09 14:30:08,cukup memuaskan abg2nya ramah tapi kalau bisa fokusin ke metode tunai biar lebih enak bisa cash,0,0,0,0,0,1,0,0,0,0,0,memuaskan abgnya ramah fokusin metode tunai biar enak cash,netral
Johanes Win,5,2025-10-09 14:12:31,tarif bersahabat,0,0,0,0,1,0,0,0,0,0,0,tarif bersahabat,netral
Alvi Fauziana,2,2025-10-09 13:15:34,tidak bisa mendapatkan kode login,0,0,0,1,1,0,0,0,0,0,0,kode login,netral
de syifa,3,2025-10-09 12:34:15,males ah banyak oknum ga ada kembalian akhirnya harus terpaksa ngeihklasin kembalian walaupun cuma kembalian 18 rebu tapi kalau caranya gini jadi males,0,0,0,0,0,0,0,0,0,0,0,males ah oknum ga kembalian terpaksa ngeihklasin kembalian kembalian rebu gini males,netral
Emanuel Leta,5,2025-10-09 12:23:00,mantap esok esok order lagi cepat dan mantap,0,0,0,0,0,0,1,1,0,0,1,mantap esok esok order cepat mantap,puas
Togi Jelek,1,2025-10-09 12:04:01,drivernya minta nambah ongkos awalnya 8 900 jadi 16k dengan alasan balik ke rumah gaada orderan pdhl pas nyampe langsung dapat trs tiba tiba minta hp biar dibuat penilaian baik pdhl ga pake seragam dll gjls,0,0,0,0,1,0,0,0,0,0,0,drivernya nambah ongkos k alasan rumah gaada orderan pdhl pas nyampe langsung trs hp biar penilaian pdhl ga pake seragam dll gjls,netral
Juju Amaliyah,1,2025-10-09 11:55:17,kode masuk lama bet diminta berkali malah batas pengiriman kode habis aga laen,0,0,0,0,1,0,0,1,0,0,0,kode masuk bet berkali batas pengiriman kode habis aga laen,netral
Raka Arifky,5,2025-10-09 11:46:17,saya customer langanan berikan saya promo,0,0,0,0,1,0,0,0,0,0,0,customer langanan promo,netral
Hola hop,1,2025-10-09 11:25:47,woyy isi waleet maxim kok ga masuk masuk anehh udahh lamaa ga masuk masuk kocakkk,0,0,0,0,0,0,0,0,0,0,0,woyy isi waleet maxim ga masuk masuk anehh udahh lamaa ga masuk masuk kocakkk,netral
Ari Doank,5,2025-10-09 11:15:08,bagus,0,0,0,0,0,0,0,0,0,0,1,bagus,puas
Trisno Mu,1,2025-10-09 10:54:21,lelet tay lo,0,0,0,0,0,0,0,0,0,0,0,lelet tay lo,netral
PRADEV J5,5,2025-10-09 10:23:18,mantap,0,0,0,0,0,0,0,0,0,0,1,mantap,puas
Dwi Purnomo,3,2025-10-09 08:10:43,saya pernah coba menggunakan jasa maxim dari rumah ke stasiun ongkos nya beda dikit sama grab maxim 20rb grab 25rb ya dikit murah sih cuman driver nya kurang ramah saya bilang gak buru buru dia malah ngebut gatau siapa nama drivernya itu tidak tau prosedur keselamatan kenyamanan penumpang bahaya,0,0,1,0,1,1,0,1,0,0,0,coba jasa maxim rumah stasiun ongkos nya beda dikit grab maxim rb grab rb ya dikit murah sih cuman driver nya ramah bilang gak buru buru ngebut gatau nama drivernya tau prosedur keselamatan kenyamanan penumpang bahaya,puas
Bonjol Tegal,5,2025-10-09 07:48:48,sangat bagus,0,0,0,0,0,0,0,0,0,0,1,bagus,puas
Anastasya Lahiwu,1,2025-10-09 06:41:17,sudah lama kadang tidak ada alamat nya memang murah tapi belum bisa jangkau,0,0,0,0,1,0,0,1,0,0,0,kadang alamat nya murah jangkau,puas
Rifki Revand,1,2025-10-09 06:28:00,maxim murah tapi gk bisa kirim foto driver nya banyak yg gak bisa baca maps,0,0,1,1,1,0,0,0,1,0,0,maxim murah gk kirim foto driver nya yg gak baca maps,puas
Faisal Sahroni,1,2025-10-09 06:26:11,kode nya akses ga masuk2 di saya,0,0,0,0,1,0,0,0,0,0,0,kode nya akses ga masuk,netral
Aurelia Salsabila,5,2025-10-09 06:00:28,aman,0,0,0,0,0,1,0,0,0,0,0,aman,netral
Devi AtikaSari,1,2025-10-09 05:53:35,saya mengirim uang ke kaspro tapi tidak masuk di kaspro saya,0,1,0,0,0,0,0,0,0,0,0,mengirim uang kaspro masuk kaspro,netral
Jas Mani,5,2025-10-09 05:41:03,sangat membantu,0,0,0,0,0,0,0,0,0,0,0,membantu,netral
Mariati Bintang,1,2025-10-09 05:08:21,setiap kali buka media sosial iklan dari aplikasi ini muncul terus ganggu banget tolong kurangi iklan pop up seperti ini terlalu banyak iklan yang muncul bahkan di luar aplikasi sangat mengganggu,0,0,0,0,0,0,0,0,0,0,0,kali buka media sosial iklan aplikasi muncul ganggu banget tolong kurangi iklan pop up iklan muncul aplikasi mengganggu,netral
Eni Iswana,1,2025-10-09 04:56:31,spg yg didelta plaza menghalalkan segala cara utk memenuhi target konsumen dengan mencuri email sy beberapa kali tanpa sepengetahuan sy sy tahunya dari kode verifikasi dari google yg masuk ke sms nomer kontak sy mohon diproses spg tsb krn sy tidak suka dgn caranya,0,0,0,0,1,0,0,0,0,0,1,spg yg didelta plaza menghalalkan utk memenuhi target konsumen mencuri email sy kali sepengetahuan sy sy tahunya kode verifikasi google yg masuk sms nomer kontak sy mohon diproses spg tsb krn sy suka dgn,puas
Rizal Irgy,5,2025-10-09 04:47:41,bagus udah tinggal tambahkan fitur riwayat pencarian aja kalo ngetik ulang kan agak lama jadinya,0,0,0,1,0,0,0,1,0,0,1,bagus udah tinggal tambahkan fitur riwayat pencarian aja kalo ngetik ulang,puas
Yupy Citra Dewi,3,2025-10-09 04:17:21,maxim taik banget ngisi kaspro ngga masuk2 ngga ngotak banget anj,0,1,0,0,0,0,0,0,0,0,0,maxim taik banget ngisi kaspro ngga masuk ngga ngotak banget anj,netral
Risman Firmansyah,5,2025-10-09 03:49:24,,0,0,0,0,0,0,0,0,0,0,0,,netral
Opal Nichi,1,2025-10-09 03:28:51,tolong diperbaiki untuk orderan food nya toko tutup tidak bisa di cancel tidak ada keterangan jika toko tutup,1,0,1,1,0,0,0,0,0,0,0,tolong diperbaiki orderan food nya toko tutup cancel keterangan toko tutup,netral
Diah Damayanti,1,2025-10-09 03:06:48,kalo transfer kaspro dana nya ga langsung masuk duitnya ilang,0,1,0,0,0,0,0,0,0,0,0,kalo transfer kaspro dana nya ga langsung masuk duitnya ilang,netral
Ahmad Syarif,1,2025-10-09 02:42:33,berapa kali naek maxim kecewa pernah di bikin laka lantas kepala kebentur motor sampe bocor dpet drever ngerokok bawa penumpang klw blm siap jadi aplikator gk usah bikin aplikasi kasih arahan buat drever yg bener bles komen ini klw emang peduli sama customer bales komenan jagan diem aja,0,0,0,0,0,0,0,0,0,0,1,kali naek maxim kecewa bikin laka lantas kepala kebentur motor sampe bocor dpet drever ngerokok bawa penumpang klw blm aplikator gk bikin aplikasi kasih arahan drever yg bener bles komen klw emang peduli customer bales komenan jagan diem aja,tidak puas
Taufik Ramdani,1,2025-10-09 02:38:09,susah banget kirim kode otp y maxim ampun,0,0,0,0,1,0,0,0,0,0,0,susah banget kirim kode otp y maxim ampun,tidak puas
Gladis Helda,5,2025-10-09 02:27:28,bagus bngtt cumn maps nya masih kurg update utk didaerah kotabaru kalsel smoga cepet diupdate y 100 maxim baguss poll,0,0,0,1,0,0,0,0,1,0,1,bagus bngtt cumn maps nya kurg update utk didaerah kotabaru kalsel smoga cepet diupdate y maxim baguss poll,puas
Nabila Fawwaz Rifqah,3,2025-10-09 02:12:30,ekonomis tp tolong di upgrade lg supaya bisa ngirim foto khsusnya buat delivery titik lokasinya juga bisa diperbanyak lg,0,0,0,0,0,0,0,0,1,0,0,ekonomis tp tolong upgrade lg ngirim foto khsusnya delivery titik lokasinya diperbanyak lg,netral
Sri Astuti,1,2025-10-09 02:06:08,apk dengan layanan terburuk dan lama menemukan drivernya setelah ketemu malah dibatalkan padahal mau cepat kerumah sakit ngantar ibu saya sakit auto b1,0,0,0,0,0,0,0,1,0,0,1,apk layanan terburuk menemukan drivernya ketemu dibatalkan cepat kerumah sakit ngantar sakit auto b,puas
Sahlan Sahlan,2,2025-10-09 01:51:35,akhir akhir ini kecewa dengan sopirnya maxim cerewet banyak omong nya ini lah itu lah kecewa banget,1,0,0,0,0,0,0,0,0,0,1,kecewa sopirnya maxim cerewet omong nya kecewa banget,tidak puas
Gamaliel Sangadi,5,2025-10-09 01:45:11,aplikasi yang bermanfaat,0,0,0,0,0,0,0,0,0,0,0,aplikasi bermanfaat,netral
Sri Leatari,5,2025-10-09 01:38:31,perjalanan lancar cepat diproses,0,0,0,0,0,0,0,1,0,0,0,perjalanan lancar cepat diproses,puas
Rahmah Yackub,1,2025-10-09 01:35:45,maps gajelas,1,0,0,1,0,0,0,0,1,0,0,maps gajelas,netral
Mulif aji Candra,5,2025-10-09 00:41:39,buat pengguna maxim sebagian besar jasa antar ada biaya tambahan seperti waktu tunggu tolong dicermati sifat driver beda2 jika dapat driver yg gak bisa toleransi waktu buru2 dateng atau dichat dulu karna yang membuat argo tarif tiba tiba naik driver memasukan tarif tunggu tanpa pemberitahuan terkadang minimal batas waktu tunggu dari aplikasi itu 5 menit sedangkan toleransi dari driver itu 10 menit total 15 menit driver nunggu kalau tiba2 dicancel itu karna terlalu lama nunggu bda klo macet,76,0,1,1,1,0,1,1,1,0,0,pengguna maxim jasa biaya tambahan tunggu tolong dicermati sifat driver beda driver yg gak toleransi buru dateng dichat karna argo tarif driver memasukan tarif tunggu pemberitahuan terkadang minimal batas tunggu aplikasi menit toleransi driver menit total menit driver nunggu dicancel karna nunggu bda klo macet,puas
Muhammad Albert Mayora,1,2025-10-09 00:38:40,makin buruk eror terus,0,0,0,0,0,0,0,0,0,0,1,buruk eror,tidak puas
Mei,1,2025-10-09 00:28:43,anj anj anjjj gw udh tf dr bca ke kaspro malah dana diblokir padahal di bca nya berhasil lho tf nyaa emg anjjj bgtt dah aplikasii,0,1,0,0,0,0,0,0,0,0,0,anj anj anjjj gw udh tf dr bca kaspro dana diblokir bca nya berhasil lho tf nyaa emg anjjj bgtt dah aplikasii,netral
Gabriel Nainggolan,1,2025-10-09 00:15:44,gk bsa di buka pengemudi sepi,0,0,1,0,0,0,0,0,0,0,0,gk bsa buka pengemudi sepi,netral
riny mayasari,1,2025-10-09 00:08:58,driver abal2 org blm naek tp status sdh d antarkn plat kendaraan yg dtg berbeda akun driver nya pun bs d pindah2kn k org lain driver yg b halangan dtg kok penumpang yg d suruh cancel,0,0,1,0,0,0,0,0,0,0,0,driver abal org blm naek tp status sdh d antarkn plat kendaraan yg dtg berbeda akun driver nya bs d pindahkn k org driver yg b halangan dtg penumpang yg d suruh cancel,netral
Harry zizwanto,2,2025-10-08 23:03:41,pengisian e wallet nya sgt buruk dan lambat dan tidak semua pengemudi menggunakan e wallet sgt ribet bila menggunakan non tunai,0,0,1,0,0,0,0,0,0,0,1,pengisian e wallet nya sgt buruk lambat pengemudi e wallet sgt ribet non tunai,tidak puas
